Smoke of Deceit,2.06,4.64,9.64,15.23
Null Talisman,2.04,6.71,8.41,10.43
Sange,2.03,6.29,9.66,13.34
Recipe: Daedalus,2.03,7.44,9.42,11.7
Recipe: Bloodthorn,2.02,7.1,9.13,11.39
Infused Raindrops,2.02,4.66,7.86,11.24
Magic Stick,2.02,4.96,8.46,12.13
Boots of Speed,2.01,5.77,8.8,11.96
Recipe: Linken's Sphere,1.99,6.83,9.23,11.58
Sentry Ward,1.99,5.29,10.34,15.25
Recipe: Silver Edge,1.99,7.34,9.75,12.03
Void Stone,1.98,5.43,9.23,12.89
Helm of Iron Will,1.98,7.02,9.22,11.25
Observer Ward,1.97,4.81,9.93,14.76
Quarterstaff,1.96,7.25,9.11,10.59
Observer and Sentry Wards,1.94,4.87,10.64,15.79
Tome of Knowledge,1.94,5.61,9.82,13.45
Recipe: Radiance,1.93,6.18,9.32,11.77
Recipe: Pipe of Insight,1.93,4.59,9.43,13.55
Wind Lace,1.9,4.72,9.33,13.02
Javelin,1.9,6.88,9.05,10.32
Recipe: Mekansm,1.88,3.5,9.07,13.58
Recipe: Spirit Vessel,1.85,4.21,9.54,13.42
Recipe: Crimson Guard,1.85,4.53,9.79,13.54
Recipe: Dragon Lance,1.84,2.25,4.75,6.5
Recipe: Rod of Atos,1.83,4.22,8.94,12.16
Recipe: Necronomicon,1.82,4.11,9.09,12.48
Wraith Band,1.8,6.67,8.38,8.39
Stout Shield,1.78,4.87,8.11,9.56
Healing Salve,1.78,4.61,8.15,9.86
Clarity,1.78,4.61,8.4,10.31
Quelling Blade,1.76,4.92,8.04,9.23
Blight Stone,1.75,5.68,8.74,9.61
Ring of Health,1.74,5.13,8.97,10.44
Faerie Fire,1.73,2.2,5.2,6.8
Mithril Hammer,1.72,6.28,9.43,9.9
Ogre Axe,1.7,5.5,9.72,11.06
Bracer,1.69,4.82,9.52,11.31
Mantle of Intelligence,1.69,4.37,9.2,11.18
Gauntlets of Strength,1.65,4.38,8.75,10.04
Oblivion Staff,1.65,5.48,9.04,9.41
Staff of Wizardry,1.63,4.39,9.84,11.64
Buckler,1.63,3.82,9.81,12.13
Headdress,1.62,3.86,9.72,11.84
Recipe: Headdress,1.61,3.94,9.63,11.56
Recipe: Black King Bar,1.61,6.04,10.2,10.36
Broadsword,1.6,5.26,9.52,10.01
Ring of Protection,1.58,4.29,8.65,9.38
Recipe: Aether Lens,1.56,7.67,9,6.33
Claymore,1.54,6.02,10.14,9.61
Dragon Lance,1.53,4.2,6.4,5.6
Enchanted Mango,1.53,3.9,8.35,8.86
Circlet,1.52,4.06,8.56,8.95
Blade of Alacrity,1.51,4.45,9.08,9.3
Cloak,1.51,3.76,10.18,11.66
Chainmail,1.51,4.43,9.87,10.49
Faerie Fire,1.51,3.67,7.21,7.21
Recipe: Bracer,1.49,4.26,10.22,10.96
Recipe: Null Talisman,1.48,4.09,9.29,9.61
Iron Branch,1.47,3.57,8.09,8.33
Shadow Amulet,1.47,4.29,9.62,9.85
Recipe: Aether Lens,1.47,3.71,9.99,10.95
Recipe: Orchid Malevolence,1.44,4.89,9.75,9.2
Recipe: Force Staff,1.44,3.43,9.99,10.91
Pocket Roshan,1.43,7.09,11.84,9.87
Belt of Strength,1.4,4.74,9.47,8.56
Sage's Mask,1.39,3.54,8.9,8.82
Recipe: Wraith Band,1.38,4.31,8.99,8.05
Recipe: Manta Style,1.37,4.74,9.2,7.86
Recipe: Skull Basher,1.36,5.07,9.82,8.33
Ring of Regen,1.36,3.2,9.63,9.93
Recipe: Crystalys,1.36,4.84,10.39,9.27
Slippers of Agility,1.35,4.04,8.4,7.27
Blades of Attack,1.3,4.3,9.36,7.89
Recipe: Eul's Scepter of Divinity,1.29,3.21,10.31,10.11
Recipe: Buckler,1.29,3.01,9.95,9.84
Pocket Tower,1.29,1.58,3.81,3.33
Recipe: Sange,1.22,4.19,10.58,8.68
Recipe: Drum of Endurance,1.2,2.5,9.43,8.79
Animal Courier,1.19,1.42,2.68,1.78
Recipe: Kaya,1.19,3.37,10.38,9.01
Tango,1.19,2.83,8.28,6.98
Robe of the Magi,1.18,3.36,9.77,8.2
Recipe: Urn of Shadows,1.16,2.4,8.59,7.56
Gloves of Haste,1.14,2.92,8.41,6.67
Tango,1.12,2.74,7.15,5.3
Band of Elvenskin,1.09,3.36,9.23,6.71
Recipe: Veil of Discord,1.08,2.9,10.1,7.98
Recipe: Hand of Midas,1.04,2.14,7.44,5.56
Recipe: Yasha,1.02,3.34,9.93,6.78
Recipe: Magic Wand,0.98,2.16,8.38,6.02
Recipe: Diffusal Blade,0.92,2.52,9.14,5.87
Recipe: Battle Fury,0.88,3,9.76,5.59
Recipe: Soul Ring,0.74,1.39,7.11,3.85
